Epoch [1/100], Training Loss: 8.9894, Validation Loss: 8.9893
Epoch [81/100], Training Loss: 8.9896, Validation Loss: 8.9893
Epoch [82/100], Training Loss: 8.9894, Validation Loss: 8.9893
Epoch [83/100], Training Loss: 8.9892, Validation Loss: 8.9893
Epoch [84/100], Training Loss: 8.9893, Validation Loss: 8.9893
Epoch [85/100], Training Loss: 8.9896, Validation Loss: 8.9893
Epoch [86/100], Training Loss: 8.9890, Validation Loss: 8.9893
Epoch [87/100], Training Loss: 8.9892, Validation Loss: 8.9893
Epoch [88/100], Training Loss: 8.9895, Validation Loss: 8.9893
Epoch [89/100], Training Loss: 8.9893, Validation Loss: 8.9893
Epoch [90/100], Training Loss: 8.9894, Validation Loss: 8.9893
Epoch [91/100], Training Loss: 8.9893, Validation Loss: 8.9893
Epoch [92/100], Training Loss: 8.9895, Validation Loss: 8.9893
Epoch [93/100], Training Loss: 8.9896, Validation Loss: 8.9893
Epoch [94/100], Training Loss: 8.9894, Validation Loss: 8.9893
Epoch [95/100], Training Loss: 8.9895, Validation Loss: 8.9893
Epoch [96/100], Training Loss: 8.9893, Validation Loss: 8.9893
Epoch [97/100], Training Loss: 8.9892, Validation Loss: 8.9893
Epoch [98/100], Training Loss: 8.9893, Validation Loss: 8.9893
Epoch [99/100], Training Loss: 8.9892, Validation Loss: 8.9893
Epoch [100/100], Training Loss: 8.9893, Validation Loss: 8.9893
Training complete. Evaluate the model on the test set.
Out[5]: 
VGDModel(
  (lstm): LSTM(1, 64, num_layers=2, batch_first=True, dropout=0.2)
  (fc): Linear(in_features=64, out_features=1, bias=True)
)
